OFF,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25
16,0.9,0.1,,,,,,,,,,,,,,,,,
16.5,0.7,0.2,0.1,,,,,,,,,,,,,,,,
17,,0.7,0.2,0.1,,,,,,,,,,,,,,,
17.5,,,0.7,0.2,0.1,,,,,,,,,,,,,,
18,,,,0.7,0.2,0.1,,,,,,,,,,,,,
18.5,,,,,0.7,0.2,0.1,,,,,,,,,,,,
19,,,,,,0.7,0.2,0.1,,,,,,,,,,,
19.5,,,,,,,0.7,0.2,0.1,,,,,,,,,,
20,,,,,,,,0.7,0.2,0.1,,,,,,,,,
20.5,,,,,,,,,0.7,0.2,0.1,,,,,,,,
21,,,,,,,,,,0.7,0.2,0.1,,,,,,,
21.5,,,,,,,,,,,0.7,0.2,0.1,,,,,,
22,,,,,,,,,,,,0.7,0.2,0.1,,,,,
22.5,,,,,,,,,,,,,0.7,0.2,0.1,,,,
23,,,,,,,,,,,,,,0.7,0.2,0.1,,,
23.5,,,,,,,,,,,,,,,0.7,0.2,0.1,,
24,,,,,,,,,,,,,,,,0.7,0.2,0.1,
24.5,,,,,,,,,,,,,,,,,0.7,0.2,0.1
25,,,,,,,,,,,,,,,,,,0.7,0.3