ON,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25
16,0.3,0.5,0.2,,,,,,,,,,,,,,,,
16.5,0.1,0.2,0.5,0.2,,,,,,,,,,,,,,,
17,,0.1,0.2,0.5,0.2,,,,,,,,,,,,,,
17.5,,,0.1,0.2,0.5,0.2,,,,,,,,,,,,,
18,,,,0.1,0.2,0.5,0.2,,,,,,,,,,,,
18.5,,,,,0.1,0.2,0.5,0.2,,,,,,,,,,,
19,,,,,,0.1,0.2,0.5,0.2,,,,,,,,,,
19.5,,,,,,,0.1,0.2,0.5,0.2,,,,,,,,,
20,,,,,,,,0.1,0.2,0.5,0.2,,,,,,,,
20.5,,,,,,,,,0.1,0.2,0.5,0.2,,,,,,,
21,,,,,,,,,,0.1,0.2,0.5,0.2,,,,,,
21.5,,,,,,,,,,,0.1,0.2,0.5,0.2,,,,,
22,,,,,,,,,,,,0.1,0.2,0.5,0.2,,,,
22.5,,,,,,,,,,,,,0.1,0.2,0.5,0.2,,,
23,,,,,,,,,,,,,,0.1,0.2,0.5,0.2,,
23.5,,,,,,,,,,,,,,,0.1,0.2,0.5,0.2,
24,,,,,,,,,,,,,,,,0.1,0.2,0.5,0.2
24.5,,,,,,,,,,,,,,,,,0.1,0.2,0.7
25,,,,,,,,,,,,,,,,,,0.1,0.9